node,throughput,end to end delay,delivery ratio,drop ratio
20,0.300075191374617,0.00937947246835443,0.4,0.584810126582279
40,0.753770342819015,0.0225025022297955,0.99746835443038,0
60,0.677648338025758,0.0141755025316456,0.9,0
80,0.675769889858928,0.0129478960766385,0.884810126582278,0.0151898734177215
100,0.568383548785795,0.0218906690624865,0.626582278481013,0.0316455696202532
