PacketsPerSecond,throughput,end to end delay,delivery ratio,drop ratio
5,1.1483940398517731,0.015060127045348294,0.24558749369641958,0.6606152294503278
10,2.244887923672085,0.014883865153538052,0.21567145376669186,0.6827916351725876
15,3.4739757356293763,0.015477020880158964,0.21914357682619648,0.6790931989924434
20,4.3493411595799465,0.01437506571343827,0.22941324603374466,0.6753966255351297
25,4.872563997991679,0.04815299510694681,0.19413661092081402,0.7038081805359662
