Nodes,thruput,end to end delay,delivery ratio,drop ratio
20,0.330101232947743,0.00989455555555556,0.278481012658228,0.625316455696203
40,0.209772351393462,0.0504158380952381,0.225316455696203,0.675949367088608
60,0.226595842411322,0.0386552359307359,0.240506329113924,0.673417721518987
80,0.238203612060703,0.0140052724358974,0.258227848101266,0.653164556962025
100,0.242639215537437,0.0914631833333333,0.240506329113924,0.668354430379747
