Number of Flows,thruput,delivery ratio,drop ratio
5,0.22659584241132164,0.038655235930735936,0.24050632911392406,0.6734177215189874
10,0.38844248729124625,0.03546400843881856,0.4189873417721519,0.5075949367088608
15,0.4521850546453915,0.007318386215050773,0.46582278481012657,0.4666666666666667
20,0.4073092310912242,0.007895084278590607,0.4487341772151899,0.4816455696202532
25,0.19923037085525605,0.012170677470313548,0.21822784810126583,0.6825316455696202
