CoverageArea,throughput,end to end delay,delivery ratio,drop ratio
100,0.9076743019237395,0.00583360253164557,1.0,0.0
150,0.9076833797892733,0.0058416962025316455,1.0,0.0
200,0.9076738359768172,0.005841853164556962,1.0,0.0
250,0.7261391614984988,0.006141231012658228,0.8,0.17468354430379746
300,0.22659584241132164,0.038655235930735936,0.24050632911392406,0.6734177215189874
